Abbreviation,Spoken Form
abbrev,abbreviation
abs,absolute
add'l,additional
alt,alternate
ASAP, as soon as possible
et al.,and others
approx.,approximately
AI,artificial intelligence
AAG,association of american geographers
AAG,american association of geographers
avg,average
BCE,before the common era
bpm,beats per minute
CaGIS,cartography and geographic information science
CaGIS,cartography and geographic information society
CaGIS,cartography and geographic information systems
CDC,centers for disease control
CDI,community for data integration
ch.,chapter
CSS,cascading style sheets
CS,coordinate system
D2L,desire to learn
D2L,desire
diff,difference
dist,distance
div,division
Dr.,doctor
EIU,eastern Illinois university
est,estimate
exp,expectation
exp,expected
ESRI,earth systems research institute
FDIC,faculty development and innovation center
fig.,figure
FYI, for your information
e.g.,for example
GCS,geographic coordinate system
GEO,geography
GIScience,geographic information science
GISci,geo info sci
HTML,hypertext markup language
i.e.,in other words
ICC,international cartographic conference
ICA,international cartography association
img src, image source
min,minimum
max,maximum
NIH,national institute of health
NIU,northern Illinois university
NSF,national science foundation
obs,observation
obs,observed
Phys. Sci., physical science
pop,population
precip,precipitation
PSM,professional science masters
PCS,projected coordinate system
St.,saint
st. dev.,standard deviation
sci,science
SDK,software development kit
SIU,southern Illinois university
temp,temperature
Tue/Thurs,Tuesday Thursday
USNC,us national committee
USGS,us geological survey
UCGIS,university consortium for gis
UIUC,university of Illinois urbana champaign
WinSCP,windows secure contain protect
N,north
NE,northeast
NW,northwest
NNE,north northeast
NNW,north northwest
E,east
ENE,east northeast
ESE,east southeast
S,south
SE,southeast
SW,southwest
SSE,south southeast
SSW,south southwest
W,west
WNW,west northwest
WSW,west southwest
AL,Alabama
AK,Alaska
AZ,Arizona
AR,Arkansas
CA,California
CO,Colorado
CT,Connecticut
DE,Delaware
DC,District of Columbia
FL,Florida
GA,Georgia
HI,Hawaii
ID,Idaho
IL,Illinois
IN,Indiana
IA,Iowa
KS,Kansas
KY,Kentucky
LA,Louisiana
ME,Maine
MD,Maryland
MA,Massachusetts
MI,Michigan
MN,Minnesota
MS,Mississippi
MO,Missouri
MT,Montana
NE,Nebraska
NV,Nevada
NH,New Hampshire
NJ,New Jersey
NM,New Mexico
NY,New York
NC,North Carolina
ND,North Dakota
OH,Ohio
OK,Oklahoma
OR,Oregon
PA,Pennsylvania
PR,Puerto Rico
SC,South Carolina
SD,South Dakota
TN,Tennessee
TX,Texas
UT,Utah
VT,Vermont
VA,Virginia
WA,Washington
WV,West Virginia
WI,Wisconsin
WY,Wyoming
Sun.,Sunday
Mon.,Monday
Tue.,Tuesday
Wed.,Wednesday
Thurs.,Thursday
Fri.,Friday
Sat.,Saturday
Jan,January
Feb,February
Mar,March
Apr,April
May,May
Jun,June
Jul,July
Aug,August
Sep,September
Oct,October
Nov,November
Dec,December
jpg,J peg
abbr,abbreviate
abrt,abort
ack,acknowledge
addr,address
addrs,addresses
admin,administrator
admins,administrators
adv,advance
adv,advanced
ab,alberta
alloc,allocate
alt,alternative
appl,apple
app,application
apps,applications
arg,argument
args,arguments
afaict,as far as i can tell
afaik,as far as i know
asm,assembly
async,asynchronous
atm,at the moment
attr,attribute
attrs,attributes
avg,average
afk,away from keyboard
bkp,backup
brb,be right back
bin,binary
blk,block
bool,boolean
bot,bottom
bp,break point
bps,break points
bc,british columbia
buf,buffer
btn,button
btw,by the way
calc,calculate
calc,calculator
cam,camera
ca,canada
cm,centimeter
chr,char
char,character
chk,check
chld,child
cn,china
cls,class
cli,client
col,column
cmd,command
cmds,commands
cmt,comment
comm,communication
comms,communications
cmp,compare
cond,condition
conf,conference
cfg,config
config,configuration
configs,configurations
conn,connection
const,constant
contrib,contribute
ctor,constructor
ctx,context
cfg,control flow graph
ctrl,control
coord,coordinate
coords,coordinates
cpy,copy
cnt,count
ctr,counter
cred,credential
creds,credentials
xref,cross reference
xrefs,cross references
ctl,cuddle
cur,current
qt,cute
db,database
yyyy-mm-dd,date format
deb,debian
dbg,debug
dec,decimal
decl,declaration
decl,declare
dec,decode
dec,decrement
def,define
def,definition
deg,degree
del,delete
dep,depend
deps,depends
desc,description
dst,dest
dest,destination
dev,develop
dev,development
dev,device
diag,diagnostic
dict,dictation
dict,dictionary
dir,direction
dirs,directories
dir,directory
disp,display
dist,distance
dist,distribution
doc,document
docs,documents
ing,doing
deque,double ended queue
dbl,double
dup,dupe
dup,duplicate
